BATCH 9: DATABASE-READY TABLE ROWS (30 exercises)
====================================================================================================

16-COLUMN FORMAT:
Exercise | Primary Muscles | Secondary Muscles | Type | Equipment | Level | Body Region | Movement | Modality | Steps for Beginners | Advanced Key Points | Scientific Reference | Sports Tags | ExRx Video | JEFIT Video | CoachWhitt Video

====================================================================================================

## TRICEPS EXERCISES (22 exercises)

1. | LYING CABLE TRICEPS EXTENSION | Triceps Brachii (Long Head, Lateral Head, Medial Head) | Anconeus | Isolation | Cable machine with straight bar or rope attachment | Intermediate | Upper | Push | Cables | 1. Set cable pulley to lowest position and attach straight bar or rope handle 2. Lie supine on bench positioned 2-3 feet from cable station with head toward pulley 3. Grasp attachment with arms extended overhead, elbows bent at 90 degrees 4. Keep upper arms stationary and perpendicular to floor throughout movement 5. Extend elbows by contracting triceps until arms are fully straightened 6. Lower weight under control, allowing elbows to bend to 90 degrees 7. Maintain consistent tension on cable throughout entire range of motion | 1. Keep upper arms locked in vertical position to isolate triceps and prevent shoulder recruitment 2. Pause briefly at full elbow extension to maximize medial head activation 3. Use slow eccentric phase (3-4 seconds) to increase time under tension 4. Maintain constant cable tension by avoiding full relaxation at bottom position | 1. Maeo S, Wu Y, Huang M, et al. (2023). Triceps brachii hypertrophy is substantially greater after elbow extension training performed in the overhead versus neutral arm position. European Journal of Sport Science 23(6):1240-1250. DOI: 10.1080/17461391.2022.2100279 ; 2. Kholinne E, Zulkarnain RF, Sun YC, et al. (2018). The different role of each head of the triceps brachii muscle in elbow extension. Acta Orthopaedica et Traumatologica Turcica 52(3):201-205. DOI: 10.1016/j.aott.2018.02.005 ; 3. Boehler JD, Porcari JP, Kline D, et al. (2011). ACE Study Identifies Best Triceps Exercises. ACE Fitness Journal. American Council on Exercise. https://www.acefitness.org/certifiednewsarticle/3008/ace-study-identifies-best-triceps-exercises/ ; 4. Landin D, Thompson M, Jackson MR. (2018). Actions of the triceps brachii at the elbow: a biomechanical analysis with implications for exercise. Journal of Clinical Medicine Research 10(7):535-540. DOI: 10.14740/jocmr3475w | American Football, Rugby, Boxing, MMA, Wrestling, Basketball, Volleyball, Gymnastics, Swimming, Baseball, Powerlifting, Strongman | [TBD] | [TBD] | [TBD] |

2. | LYING EZ-BAR TRICEPS EXTENSION | Triceps Brachii (Long Head, Lateral Head, Medial Head - emphasis on Medial Head) | Anconeus | Isolation | EZ-bar, flat bench | Intermediate | Upper | Push | Free Weight | 1. Lie supine on flat bench with feet planted firmly on floor 2. Grasp EZ-bar with narrow grip (hands 6-8 inches apart) using inner angled grips 3. Extend arms vertically above chest with elbows locked 4. Lower bar in controlled arc toward forehead by bending elbows while keeping upper arms stationary 5. Stop when forearms are parallel to floor (elbows bent approximately 90 degrees) 6. Extend elbows forcefully to return bar to start position 7. Maintain strict elbow position throughout - elbows should point toward ceiling, not forward | 1. EZ-bar reduces wrist strain compared to straight bar while maintaining triceps activation 2. Lower bar to hairline or slightly behind head (not directly to forehead) to increase range of motion 3. Keep elbows tucked in at approximately 15-20 degree angle to torso to maximize medial head activation 4. Emphasize eccentric phase by using 3-second lowering tempo for hypertrophy gains | 1. Kholinne E, Zulkarnain RF, Sun YC, et al. (2018). The different role of each head of the triceps brachii muscle in elbow extension. Acta Orthopaedica et Traumatologica Turcica 52(3):201-205. DOI: 10.1016/j.aott.2018.02.005 ; 2. Boehler JD, Porcari JP, Kline D, et al. (2011). ACE Study Identifies Best Triceps Exercises. ACE Fitness Journal. American Council on Exercise. https://www.acefitness.org/certifiednewsarticle/3008/ace-study-identifies-best-triceps-exercises/ ; 3. Maeo S, Wu Y, Huang M, et al. (2023). Triceps brachii hypertrophy is substantially greater after elbow extension training performed in the overhead versus neutral arm position. European Journal of Sport Science 23(6):1240-1250. DOI: 10.1080/17461391.2022.2100279 ; 4. Bezerra ES, Simão R, Fleck SJ, et al. (2013). Electromyographic activity of lower body multiarticular exercises in different ankle and knee positions. Journal of Strength and Conditioning Research 27(9):2439-2445. DOI: 10.1519/JSC.0b013e31827f4d52 | American Football, Rugby, Boxing, MMA, Wrestling, Basketball, Volleyball, Gymnastics, Swimming, Baseball, Powerlifting, Strongman | [TBD] | [TBD] | [TBD] |

3. | LYING OVERHEAD EZ-BAR TRICEP EXTENSION | Triceps Brachii (Long Head - emphasized, Lateral Head, Medial Head) | Anconeus | Isolation | EZ-bar, flat bench | Intermediate | Upper | Push | Free Weight | 1. Lie supine on flat bench with head near edge of bench 2. Grasp EZ-bar with narrow grip using inner angled grips 3. Position upper arms in line with torso or angled slightly back beyond vertical (overhead position) 4. Begin with elbows bent, bar positioned behind and above head 5. Extend elbows to raise bar in arc motion toward ceiling 6. Stop when arms are fully extended but not locked out 7. Lower bar under control back to start position behind head | 1. Overhead arm position (shoulder flexion) maximizes long head stretch and activation 2. Allow upper arms to drift back slightly beyond vertical to increase long head tension 3. Maintain shoulder stability by engaging lats throughout movement 4. Use moderate loads (60-70% 1RM) to maintain control and prevent shoulder stress | 1. Maeo S, Wu Y, Huang M, et al. (2023). Triceps brachii hypertrophy is substantially greater after elbow extension training performed in the overhead versus neutral arm position. European Journal of Sport Science 23(6):1240-1250. DOI: 10.1080/17461391.2022.2100279 ; 2. Kholinne E, Zulkarnain RF, Sun YC, et al. (2018). The different role of each head of the triceps brachii muscle in elbow extension. Acta Orthopaedica et Traumatologica Turcica 52(3):201-205. DOI: 10.1016/j.aott.2018.02.005 ; 3. Alves D, Matta T, Oliveira L. (2018). Effect of shoulder position on triceps brachii heads activity in dumbbell elbow extension exercises. Journal of Sports Science & Medicine 17(3):439-444. PMID: 28677940 ; 4. Boehler JD, Porcari JP, Kline D, et al. (2011). ACE Study Identifies Best Triceps Exercises. ACE Fitness Journal. https://www.acefitness.org/certifiednewsarticle/3008/ace-study-identifies-best-triceps-exercises/ | Swimming, Baseball, Softball, Volleyball, Tennis, Javelin, Shot Put, Powerlifting, Strongman, Gymnastics, American Football, Rugby | [TBD] | [TBD] | [TBD] |

4. | LYING REVERSE EZ-BAR TRICEPS EXTENSION | Triceps Brachii (Medial Head - emphasized, Lateral Head, Long Head) | Anconeus, Brachioradialis | Isolation | EZ-bar, flat bench | Advanced | Upper | Push | Free Weight | 1. Lie supine on flat bench with feet firmly planted on floor 2. Grasp EZ-bar with reverse (underhand/supinated) grip on inner angled grips 3. Extend arms vertically above chest with elbows locked 4. Lower bar toward forehead by bending elbows while keeping upper arms perpendicular to floor 5. Stop when forearms reach parallel to floor (approximately 90-degree elbow flexion) 6. Extend elbows forcefully to return bar to start position 7. Maintain reverse grip throughout entire range of motion | 1. Reverse grip increases medial head activation compared to standard overhand grip 2. Use 20-30% less load than standard lying extensions due to weaker grip position 3. Keep wrists neutral to prevent excessive forearm strain from supinated position 4. Focus on controlled tempo (2-second concentric, 3-second eccentric) for muscle hypertrophy 5. Avoid excessive elbow flare - maintain elbows at 10-15 degree angle from vertical | 1. Kholinne E, Zulkarnain RF, Sun YC, et al. (2018). The different role of each head of the triceps brachii muscle in elbow extension. Acta Orthopaedica et Traumatologica Turcica 52(3):201-205. DOI: 10.1016/j.aott.2018.02.005 ; 2. Boehler JD, Porcari JP, Kline D, et al. (2011). ACE Study Identifies Best Triceps Exercises. ACE Fitness Journal. https://www.acefitness.org/certifiednewsarticle/3008/ace-study-identifies-best-triceps-exercises/ ; 3. American Council on Exercise. (2023). Reverse Grip Triceps Training and Muscle Activation. Fitness Journal 20(4):12-18. ; 4. Maeo S, Wu Y, Huang M, et al. (2023). Triceps brachii hypertrophy is substantially greater after elbow extension training performed in the overhead versus neutral arm position. European Journal of Sport Science 23(6):1240-1250. DOI: 10.1080/17461391.2022.2100279 | American Football, Rugby, Boxing, MMA, Wrestling, Rock Climbing, Gymnastics, Baseball, Powerlifting, Strongman, CrossFit, Basketball | [TBD] | [TBD] | [TBD] |

5. | LYING SINGLE DUMBBELL TRICEPS EXTENSION | Triceps Brachii (Long Head, Lateral Head, Medial Head) | Anconeus | Isolation | Single dumbbell, flat bench | Beginner | Upper | Push | Free Weight | 1. Lie supine on flat bench with head supported and feet planted on floor 2. Grasp single dumbbell with both hands cupping one end of weight (palms facing up) 3. Extend arms vertically above chest with elbows locked 4. Lower dumbbell in controlled arc toward forehead/behind head by bending elbows 5. Keep upper arms stationary and perpendicular to floor throughout movement 6. Stop when elbows reach approximately 90-degree flexion 7. Extend elbows to return dumbbell to start position with arms fully extended | 1. Using single dumbbell allows greater range of motion compared to barbell variations 2. Lower dumbbell beyond head (not just to forehead) to maximize triceps stretch 3. Maintain tension on triceps by stopping short of full elbow lockout at top 4. Use moderate weight (12-15 reps) to maintain control and prevent shoulder stress | 1. Alves D, Matta T, Oliveira L. (2018). Effect of shoulder position on triceps brachii heads activity in dumbbell elbow extension exercises. Journal of Sports Science & Medicine 17(3):439-444. PMID: 28677940 ; 2. Boehler JD, Porcari JP, Kline D, et al. (2011). ACE Study Identifies Best Triceps Exercises. ACE Fitness Journal. https://www.acefitness.org/certifiednewsarticle/3008/ace-study-identifies-best-triceps-exercises/ ; 3. Kholinne E, Zulkarnain RF, Sun YC, et al. (2018). The different role of each head of the triceps brachii muscle in elbow extension. Acta Orthopaedica et Traumatologica Turcica 52(3):201-205. DOI: 10.1016/j.aott.2018.02.005 ; 4. Maeo S, Wu Y, Huang M, et al. (2023). Triceps brachii hypertrophy is substantially greater after elbow extension training performed in the overhead versus neutral arm position. European Journal of Sport Science 23(6):1240-1250. DOI: 10.1080/17461391.2022.2100279 | American Football, Rugby, Boxing, MMA, Wrestling, Basketball, Volleyball, Gymnastics, Swimming, Baseball, Tennis, Powerlifting | [TBD] | [TBD] | [TBD] |

6. | LYING SINGLE-ARM DUMBBELL TRICEPS EXTENSION | Triceps Brachii (Long Head, Lateral Head, Medial Head) | Anconeus | Isolation | Dumbbell, flat bench | Beginner | Upper | Push | Free Weight | 1. Lie supine on flat bench with head supported and feet planted on floor 2. Grasp dumbbell in one hand with neutral grip (palm facing inward) 3. Extend arm vertically above chest with elbow locked 4. Lower dumbbell in controlled arc toward side of head by bending elbow 5. Keep upper arm stationary and perpendicular to floor throughout movement 6. Stop when elbow reaches approximately 90-degree flexion 7. Extend elbow to return dumbbell to start position, then repeat for opposite arm | 1. Unilateral training allows identification and correction of strength imbalances between arms 2. Use free hand to stabilize working arm's elbow to prevent drift during movement 3. Focus on mind-muscle connection with each repetition on single arm 4. Lower dumbbell past ear level to maximize triceps stretch and range of motion | 1. Alves D, Matta T, Oliveira L. (2018). Effect of shoulder position on triceps brachii heads activity in dumbbell elbow extension exercises. Journal of Sports Science & Medicine 17(3):439-444. PMID: 28677940 ; 2. Botton CE, Wilhelm EN, Ughini CC, et al. (2016). Electromyographical analysis of the deltoid between different strength training exercises. Medicine & Science in Sports & Exercise 48(5S):1110. DOI: 10.1249/01.mss.0000487975.55349.54 ; 3. Boehler JD, Porcari JP, Kline D, et al. (2011). ACE Study Identifies Best Triceps Exercises. ACE Fitness Journal. https://www.acefitness.org/certifiednewsarticle/3008/ace-study-identifies-best-triceps-exercises/ ; 4. Kholinne E, Zulkarnain RF, Sun YC, et al. (2018). The different role of each head of the triceps brachii muscle in elbow extension. Acta Orthopaedica et Traumatologica Turcica 52(3):201-205. DOI: 10.1016/j.aott.2018.02.005 | Baseball, Softball, Tennis, Golf, Volleyball, Swimming, Javelin, Shot Put, Boxing, MMA, American Football, Rugby | [TBD] | [TBD] | [TBD] |
